Unnamed: 0,Unnamed: 0.1,recipe_id,ingredients,quantities,parts,totalQuantity,totalCO2
0,0,79222,"[""'840'"", ""'5010'"", ""'3184'"", ""'5648'"", ""'2683'"", ""'4717'"", ""'590'"", ""'4964'"", ""'1933'"", ""'1257'"", ""'4483'"", ""'1119'"", ""'5185'""]","[""'2'"", ""'1'"", ""'2'"", ""'3'"", ""'3'"", ""'2'"", ""'0.5'"", ""'0.25'"", ""'1'"", ""'1'"", ""'1'"", ""'1'"", ""'1'""]","[""'tablespoonsbutter'"", ""'mediumonion'"", ""'tablespoonsmincedgarlic'"", ""'cupspotatoesskinon1inchcubed'"", ""'tablespoonsflour'"", ""'cupsmilk'"", ""'teaspoonblackpepper'"", ""'teaspoonnutmeg'"", ""'(14ounce)cancreamedcorn'"", ""'(14ounce)canlowsodiumchickenbroth'"", ""'(8ounce)canlumpcrabmeat'"", ""'dashcayennepepper'"", ""'pinchparsley'""]","[23.48, 250.0, 23.48, 513.48, 35.22, 342.32, 1.955, 0.9775, 28.35, 28.35, 28.35, 142.0, 0.36]",3.4614260000000003
1,25,78274,"[""'2499'"", ""'1933'"", ""'7850'"", ""'6654'"", ""'1825'"", ""'840'"", ""'1168'""]","[""'2'"", ""'1'"", ""'1'"", ""'1'"", ""'1'"", ""'0.5'"", ""'1'""]","[""'eggs'"", ""'(14ounce)cancreamedcorn'"", ""'(14ounce)canwholekernelcorn(undrained)'"", ""'cupsourcream'"", ""'(8ounce)packageJiffycornbreadmix'"", ""'cupmeltedbutter'"", ""'cupshreddedcheddarcheese'""]","[116.0, 28.35, 28.35, 171.16, 28.35, 85.58, 171.16]",3.9746532
2,69,207860,"[""'2714'"", ""'6270'"", ""'2430'"", ""'7799'"", ""'7557'""]","[""'2'"", ""'2'"", ""'2'"", ""'0.25'"", ""'2'""]","[""'largefree-rangeeggs(thefreshestyoucanget)'"", ""'teaspoonssalt'"", ""teaspoonsdrymustard(Keen's)"", ""'cupwhitevinegar'"", ""'cupsvegetableoil(orslightlyless)'""]","[116.0, 7.82, 7.82, 42.79, 342.32]",0.56462
3,95,33096,"[""'1851'"", ""'7655'"", ""'7474'"", ""'1789'"", ""'3327'""]","[""'0.3333333333333333'"", ""'0.5'"", ""'1'"", ""'1'"", ""'1'""]","[""'cupcountrytimelemonademix(itcomesinacanister)'"", ""'cupwater'"", ""'pintvanillaicecream'"", ""'(8ounce)containerCoolWhip'"", ""'grahamcrackerpiecrust(thelarger9oz.size)'""]","[57.05333333333333, 85.58, 308.38, 28.35, 174.0]",0.740112
4,125,211570,"[""'1093'"", ""'1130'"", ""'7779'"", ""'7770'"", ""'8021'"", ""'6819'"", ""'800'"", ""'1257'"", ""'393'"", ""'5185'"", ""'6276'"", ""'5219'""]","[""'2'"", ""'3'"", ""'2'"", ""'1'"", ""'1'"", ""'28'"", ""'1'"", ""'3'"", ""'1'"", ""'0.25'"", ""'0'"", ""'0.5'""]","[""'largecarrotspeeled'"", ""'celeryribsyoucanusetheleavestoo'"", ""'mediumwhitepotatoes(about1/2lb)'"", ""'mediumwhiteonion'"", ""'mediumzucchini(optional)'"", ""'ouncesstewedtomatoeswhole'"", ""'teaspoonbrownsugar'"", ""'cupschickenbroth(veggiecanbesubstituted)or3cupschickenstock(veggiecanbesubstituted)'"", ""'bayleaf'"", ""'cupparsleychopped'"", ""'saltandpepper'"", ""'cuppastaanysmallshapeworkswelllikeditalinismallshellorzoandkidfavoritealphabet(optional)'""]","[120.0, 1500.0, 907.18, 250.0, 196.0, 793.8000000000001, 3.91, 513.48, 0.2, 42.79, 0, 85.58]",18.3521822
5,151,54550,"[""'4863'"", ""'840'"", ""'5010'"", ""'4227'"", ""'1257'"", ""'7779'"", ""'1124'"", ""'3184'"", ""'1093'"", ""'5290'"", ""'393'"", ""'6276'""]","[""'1'"", ""'0.25'"", ""'1'"", ""'1'"", ""'8'"", ""'1'"", ""'0.5'"", ""'1'"", ""'1'"", ""'0.5'"", ""'2'"", ""'0'""]","[""'lbmushroom(whitebuttonbabyportobellaormixtureofboth)'"", ""'cupbutter(preferunsalted)'"", ""'mediumonionchopped'"", ""'leekwhiteandpalegreenpartsonlychopped'"", ""'cupschickenbroth'"", ""'mediumwhitepotatopeeleddicedsmall'"", ""'cupchoppedcelery(usethetopleavestoo)'"", ""'teaspoonmincedgarlic'"", ""'largecarrotpeeledandthinlysliced'"", ""'cuppearlbarley'"", ""'bayleaves'"", ""'saltandpepper'""]","[453.59, 42.79, 250.0, 90.0, 1369.28, 85.0, 85.58, 3.91, 60.0, 85.58, 4.0, 0]",38.50115589999999
6,172,98783,"[""'1388'"", ""'7022'"", ""'5298'"", ""'5090'""]","[""'2.5'"", ""'1'"", ""'0.5'"", ""'2'""]","[""'cupssemi-sweetchocolatechips'"", ""'(14ounce)cansweetenedcondensedmilk'"", ""'cupchoppedpecans(optional)'"", ""'teaspoonsorangezest(seenotesabove)'""]","[427.9, 28.35, 85.58, 7.82]",0.1916488
8,270,152116,"[""'6142'"", ""'6270'"", ""'590'"", ""'1329'"", ""'3217'"", ""'5024'"", ""'2378'"", ""'6906'"", ""'5168'"", ""'5006'""]","[""'4'"", ""'1'"", ""'1'"", ""'1'"", ""'1'"", ""'1'"", ""'1'"", ""'1'"", ""'2'"", ""'0'""]","[""'lbsroastingchickens'"", ""'teaspoonsalt'"", ""'teaspoonblackpepper'"", ""'teaspoonchilipowder'"", ""'teaspoongarlicpowder'"", ""'teaspoononionpowder'"", ""'teaspoondriedthyme'"", ""'teaspoonsugar'"", ""'teaspoonspaprika'"", ""'oliveoil'""]","[1814.36, 3.91, 3.91, 3.91, 3.91, 3.91, 3.91, 3.91, 7.82, 0]",12.546258500000002
9,331,21132,"[""'6516'"", ""'800'"", ""'4574'"", ""'3497'"", ""'4998'"", ""'150'"", ""'2251'"", ""'7642'""]","[""'3'"", ""'6'"", ""'1.5'"", ""'2'"", ""'1.5'"", ""'1.5'"", ""'0.75'"", ""'0.75'""]","[""'cupsskimmilkplusmoreforservingifdesired'"", ""'tablespoonspackedbrownsugar'"", ""'tablespoonsmargarine'"", ""'teaspoonsgroundcinnamon'"", ""'cupsoldfashionedoats'"", ""'cupspeeledfinelychoppedapples'"", ""'cupdriedcranberries'"", ""'cupcoarselychoppedwalnutsor3/4cuppecans'""]","[513.48, 70.44, 17.61, 7.82, 256.74, 256.74, 128.37, 128.37]",2.9514932000000003
10,362,32082,"[""'4574'"", ""'7790'"", ""'2499'"", ""'342'"", ""'7449'"", ""'2683'"", ""'1584'"", ""'332'"", ""'335'"", ""'6270'"", ""'6662'""]","[""'0.75'"", ""'1.75'"", ""'2'"", ""'1.25'"", ""'1'"", ""'2'"", ""'0.75'"", ""'1.5'"", ""'1'"", ""'0.75'"", ""'0.75'""]","[""'cupmargarine'"", ""'cupswhitesugar'"", ""'eggs'"", ""'cupsmashedbananas'"", ""'teaspoonvanilla'"", ""'cupsflour'"", ""'cupcocoa'"", ""'teaspoonsbakingpowder'"", ""'teaspoonbakingsoda'"", ""'teaspoonsalt'"", ""'cupsourmilk(put1tbsp.ofvinegarin3/4measuringcupfillwithskimmilk)'""]","[128.37, 299.53, 116.0, 213.95, 3.91, 342.32, 128.37, 5.865, 3.91, 2.9325, 128.37]",1.3031753999999998
